participant,participant_gender,search_term,image_url,image_selected,image_gender,image_position,bls_p_women,bls_p_image_gender,search_p_women,synthetic_p_women,quality_rating
b12,female,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/9.jpg,TRUE,man,7,0.236,0.764,0.209302326,0,good
b23,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/77.jpg,TRUE,woman,7,0.225,0.225,0.166666667,0.75,poor
b25,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/77.jpg,FALSE,woman,7,0.225,0.225,0.166666667,0.75,good
b5,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/9.jpg,FALSE,woman,7,0.442,0.442,0.532467532,0.5,good
b22,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/7.jpg,FALSE,man,7,0.599,0.401,0.234042553,0,good
b36,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/16.jpg,FALSE,man,7,0.556,0.444,0.246153846,0.25,fair
b8,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/17.jpg,FALSE,man,7,0.442,0.558,0.532467532,0,good
b3,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/6.jpg,FALSE,man,7,0.215,0.785,0.241758242,0.25,very good
b30,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/54.jpg,FALSE,woman,7,0.197,0.197,0.148148148,0.75,fair
b7,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/7.jpg,FALSE,man,7,0.503,0.497,0.644444444,0.5,fair
b38,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/9.jpg,FALSE,woman,7,0.596,0.596,0.685714286,0.625,good
b19,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/9.jpg,FALSE,woman,7,0.537,0.537,0.576923077,0.5,very good
b5,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/33.jpg,FALSE,man,7,0.814,0.186,0.717948718,0,fair
b3,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/58.jpg,FALSE,woman,7,0.274,0.274,0.112244898,0.875,very good
b30,female,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/72.jpg,FALSE,woman,7,0.013,0.013,0.047058824,0.5,very good
b38,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/8.jpg,FALSE,man,7,0.029,0.971,0.125,0,fair
b19,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/8.jpg,FALSE,man,7,0.343,0.657,0.301204819,0,very good
b34,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/57.jpg,FALSE,woman,7,0.029,0.029,0.125,1,poor
b5,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/10.jpg,FALSE,man,7,0.555,0.445,0.35,0.5,very poor
b23,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/11.jpg,FALSE,man,7,0.377,0.623,0.287671233,0,good
b16,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/6.jpg,FALSE,man,7,0.215,0.785,0.241758242,0.25,good
b8,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/12.jpg,FALSE,woman,7,0.503,0.503,0.644444444,1,very good
b3,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/15.jpg,FALSE,man,7,0.596,0.404,0.685714286,0.375,fair
b6,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/7.jpg,FALSE,man,7,0.599,0.401,0.234042553,0,good
b18,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/9.jpg,FALSE,man,7,0.126,0.874,0.138888889,0,poor
b4,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/13.jpg,FALSE,woman,7,0.596,0.596,0.685714286,1,very good
b12,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/58.jpg,FALSE,woman,7,0.274,0.274,0.112244898,0.875,fair
b22,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/9.jpg,FALSE,woman,7,0.596,0.596,0.685714286,0.625,fair
b5,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/58.jpg,FALSE,woman,7,0.274,0.274,0.112244898,0.875,fair
b30,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/8.jpg,FALSE,man,7,0.029,0.971,0.125,0,good
b7,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/26.jpg,TRUE,woman,7,0.501,0.501,0.353846154,1,good
b38,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/75.jpg,FALSE,woman,7,0.455,0.455,0.1875,0.75,good
b34,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/8.jpg,FALSE,man,7,0.501,0.499,0.353846154,0.5,fair
b22,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/57.jpg,FALSE,woman,7,0.029,0.029,0.125,1,very poor
b4,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/57.jpg,FALSE,woman,7,0.029,0.029,0.125,1,very good
b25,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/7.jpg,FALSE,man,7,0.503,0.497,0.644444444,0.625,good
b8,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/7.jpg,TRUE,man,7,0.132,0.868,0.154929577,0,very good
b11,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/87.jpg,FALSE,woman,7,0.455,0.455,0.1875,1,fair
b3,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/12.jpg,FALSE,woman,7,0.503,0.503,0.644444444,1,good
b30,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/17.jpg,FALSE,woman,7,0.537,0.537,0.576923077,1,good
b2,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/6.jpg,FALSE,woman,7,0.132,0.132,0.154929577,0.125,very good
b21,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/7.jpg,FALSE,woman,7,0.343,0.343,0.301204819,0.375,good
b7,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/10.jpg,FALSE,man,7,0.377,0.623,0.141025641,0,poor
b5,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/62.jpg,FALSE,woman,7,0.297,0.297,0.15625,1,very poor
b12,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/12.jpg,FALSE,woman,7,0.503,0.503,0.644444444,1,good
b25,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/51.jpg,FALSE,woman,7,0.274,0.274,0.112244898,0.75,fair
b4,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/55.jpg,FALSE,man,7,0.861,0.139,0.846153846,0.125,very good
b22,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/55.jpg,FALSE,man,7,0.861,0.139,0.846153846,0.125,fair
b36,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/9.jpg,FALSE,woman,7,0.442,0.442,0.532467532,0.5,good
b16,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/57.jpg,FALSE,man,7,0.953,0.047,0.923076923,0.5,fair
b8,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/9.jpg,FALSE,woman,7,0.596,0.596,0.685714286,0.625,very good
b3,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/15.jpg,FALSE,man,7,0.501,0.499,0.353846154,0,fair
b30,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/84.jpg,FALSE,woman,7,0.078,0.078,0.06779661,0.5,poor
b18,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/11.jpg,FALSE,man,7,0.728,0.272,0.651162791,0.375,good
b38,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/6.jpg,FALSE,man,7,0.215,0.785,0.241758242,0.25,very good
b35,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/41.jpg,FALSE,man,7,0.881,0.119,0.926829268,0.5,good
b26,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/42.jpg,FALSE,man,7,0.861,0.139,0.846153846,0.5,very good
b4,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/9.jpg,TRUE,woman,7,0.537,0.537,0.576923077,0.5,very good
b12,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/42.jpg,FALSE,man,7,0.861,0.139,0.846153846,0.5,good
b10,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/36.jpg,FALSE,woman,7,0.556,0.556,0.246153846,1,poor
b8,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/8.jpg,FALSE,woman,7,0.537,0.537,0.576923077,0.375,very good
b3,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/90.jpg,FALSE,woman,7,0.225,0.225,0.166666667,1,fair
b30,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/62.jpg,FALSE,woman,7,0.274,0.274,0.112244898,1,fair
b12,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/6.jpg,FALSE,woman,7,0.197,0.197,0.148148148,0.25,fair
b4,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/8.jpg,FALSE,woman,7,0.274,0.274,0.112244898,0.25,fair
b22,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/22.jpg,FALSE,woman,7,0.236,0.236,0.209302326,0.75,very poor
b25,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/20.jpg,FALSE,man,7,0.814,0.186,0.717948718,0.25,good
b5,female,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/22.jpg,FALSE,woman,7,0.236,0.236,0.209302326,0.75,very good
b8,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/56.jpg,FALSE,man,7,0.941,0.059,0.873239437,0.125,fair
b3,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/7.jpg,FALSE,man,7,0.197,0.803,0.148148148,0,fair
b38,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/10.jpg,FALSE,man,7,0.555,0.445,0.35,0.375,fair
b19,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/6.jpg,FALSE,woman,7,0.941,0.941,0.873239437,0.875,very good
b25,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/55.jpg,FALSE,man,7,0.862,0.138,0.779069767,0.125,poor
b4,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/7.jpg,FALSE,man,7,0.503,0.497,0.644444444,0.5,good
b5,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/7.jpg,FALSE,man,7,0.503,0.497,0.644444444,0.5,fair
b36,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/15.jpg,TRUE,man,7,0.596,0.404,0.685714286,0.375,good
b8,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/12.jpg,FALSE,woman,7,0.441,0.441,0.476190476,0.5,fair
b3,female,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/22.jpg,FALSE,woman,7,0.236,0.236,0.209302326,0.75,very good
b38,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/56.jpg,FALSE,woman,7,0.126,0.126,0.138888889,0.875,very good
b34,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/18.jpg,FALSE,man,7,0.503,0.497,0.644444444,0,very good
b36,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/10.jpg,FALSE,man,7,0.555,0.445,0.35,0.5,fair
b4,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/10.jpg,FALSE,man,7,0.555,0.445,0.35,0.5,fair
b25,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/6.jpg,FALSE,man,7,0.041,0.959,0.103896104,0,very good
b22,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/6.jpg,FALSE,man,7,0.041,0.959,0.103896104,0,very good
b5,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/34.jpg,FALSE,man,7,0.941,0.059,0.873239437,0.5,very good
b14,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/48.jpg,FALSE,woman,7,0.029,0.029,0.125,0.875,poor
b15,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/78.jpg,FALSE,man,7,0.941,0.059,0.873239437,0,very good
b8,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/15.jpg,FALSE,woman,7,0.556,0.556,0.246153846,0.5,good
b3,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/33.jpg,FALSE,woman,7,0.556,0.556,0.246153846,0.75,fair
b5,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/8.jpg,FALSE,man,7,0.501,0.499,0.353846154,0.375,fair
b4,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/78.jpg,FALSE,man,7,0.941,0.059,0.873239437,0,good
b23,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/7.jpg,FALSE,woman,7,0.814,0.814,0.717948718,1,good
b25,male,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/56.jpg,FALSE,woman,7,0.054,0.054,0.069444444,0.5,very good
b22,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/55.jpg,FALSE,woman,7,0.297,0.297,0.15625,0.875,very poor
b16,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/20.jpg,FALSE,man,7,0.728,0.272,0.651162791,0,good
b3,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/14.jpg,FALSE,woman,7,0.442,0.442,0.532467532,1,very good
b30,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/19.jpg,FALSE,man,7,0.455,0.545,0.1875,0,good
b21,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/73.jpg,FALSE,woman,7,0.197,0.197,0.148148148,1,very poor
b7,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/72.jpg,FALSE,woman,7,0.041,0.041,0.103896104,0.875,good
b35,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/21.jpg,FALSE,woman,7,0.274,0.274,0.112244898,0.5,good
b5,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/7.jpg,FALSE,man,7,0.599,0.401,0.234042553,0,very good
b12,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/6.jpg,FALSE,man,7,0.343,0.657,0.301204819,0.25,good
b4,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/42.jpg,FALSE,man,7,0.678,0.322,0.6875,0,good
b25,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/21.jpg,FALSE,man,7,0.556,0.444,0.246153846,0,fair
b8,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/6.jpg,FALSE,man,7,0.297,0.703,0.15625,0,very good
b17,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/21.jpg,FALSE,woman,7,0.274,0.274,0.112244898,0.5,fair
b30,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/78.jpg,FALSE,man,7,0.941,0.059,0.873239437,0,poor
b7,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/33.jpg,FALSE,man,7,0.814,0.186,0.717948718,0,good
b38,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/73.jpg,FALSE,woman,7,0.197,0.197,0.148148148,1,very poor
b9,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/36.jpg,FALSE,woman,7,0.556,0.556,0.246153846,1,very poor
b3,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/62.jpg,FALSE,woman,7,0.297,0.297,0.15625,1,poor
b21,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/10.jpg,TRUE,man,7,0.377,0.623,0.141025641,0,very poor
b5,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/62.jpg,FALSE,woman,7,0.297,0.297,0.15625,1,very poor
b7,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/15.jpg,FALSE,woman,7,0.556,0.556,0.246153846,0.5,fair
b4,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/56.jpg,FALSE,man,7,0.862,0.138,0.779069767,0,fair
b5,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/35.jpg,FALSE,woman,7,0.132,0.132,0.154929577,0.875,very good
b22,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/12.jpg,TRUE,woman,7,0.441,0.441,0.476190476,0.5,good
b36,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/84.jpg,FALSE,woman,7,0.078,0.078,0.06779661,0.5,fair
b16,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/42.jpg,TRUE,woman,7,0.377,0.377,0.141025641,0.375,very poor
b18,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/27.jpg,FALSE,woman,7,0.343,0.343,0.301204819,1,poor
b7,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/35.jpg,FALSE,woman,7,0.132,0.132,0.154929577,0.875,good
b19,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/87.jpg,FALSE,woman,7,0.041,0.041,0.103896104,1,fair
b36,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/9.jpg,FALSE,woman,7,0.377,0.377,0.287671233,0.625,very good
b22,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/13.jpg,FALSE,woman,7,0.377,0.377,0.287671233,1,fair
